,name,type,location,rating,num_ratings,age,price,abv,style,cask,flavor_summary,expert,score,Smoky,Peaty,Spicy,Herbal,Oily,Full-bodied,Rich,Sweet,Briny,Salty,Vanilla,Tart,Fruity,Floral
0,Rock Town Straight Bottled in Bond Bourbon,Bourbon,"Rock Town // Arkansas, USA",3.5,3,4 Year,3,50.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Spicy,Rob Morton,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,George T. Stagg Bourbon (Fall 2018),Bourbon,"George T. Stagg // Kentucky, USA",4.59,420,NAS,4,62.45,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Full Bodied,Jake Emen,93,20.0,0.0,80.0,40.0,20.0,90.0,70.0,60.0,0.0,0.0,90.0,10.0,20.0,0.0
2,Happenstance Founder's Edition Straight Bourbon,Bourbon,"Happenstance Whiskey // Indiana (bottled in Tennessee), USA",,0,NAS,3,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Full Bodied & Rich,Amanda Schuster,83,5.0,0.0,25.0,0.0,5.0,75.0,70.0,60.0,0.0,0.0,25.0,20.0,40.0,0.0
3,Wild Turkey Rare Breed Barrel Proof Bourbon,Bourbon,"Wild Turkey // Kentucky, USA",4.11,2198,NAS,2,58.4,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Full Bodied,Jake Emen,93,30.0,0.0,70.0,30.0,0.0,90.0,80.0,70.0,0.0,0.0,90.0,20.0,10.0,10.0
4,Temperance Trader Chinato Barrel-Finished Bourbon,Bourbon,"Temperance Trader // Indiana (bottled in Oregon), USA",3.68,9,NAS,2,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak; finished in ex-chinato casks",Herbal & Fruity,Distiller Staff,87,0.0,0.0,40.0,90.0,10.0,30.0,10.0,50.0,0.0,0.0,60.0,10.0,80.0,30.0
5,William Larue Weller Bourbon (Fall 2010),Bourbon,"William Larue Weller // Kentucky, USA",4.9,5,12 Year,5,63.3,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Herbal & Fruity,Distiller Staff,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Barrell Bourbon Batch 001,Bourbon,"Barrell Craft Spirits // Tennessee , USA",4.37,32,5 Year,3,60.8,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Full Bodied,Keith Allison,88,70.0,0.0,80.0,20.0,30.0,80.0,80.0,70.0,0.0,10.0,70.0,10.0,50.0,50.0
7,Redemption Barrel Proof 9 Year Straight Bourbon,Bourbon,"Redemption // Indiana, USA",3.08,12,9 Year,4,55.3,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Rich & Full Bodied,Amanda Schuster,82,10.0,0.0,70.0,20.0,5.0,70.0,70.0,60.0,0.0,20.0,30.0,15.0,40.0,0.0
8,Feisty Spirits Blue Corn Bourbon,Bourbon,"Feisty Spirits // Colorado, USA",2.5,2,NAS,2,44.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy,Katrina Niemisto,81,10.0,0.0,65.0,10.0,0.0,15.0,20.0,35.0,0.0,0.0,25.0,0.0,45.0,15.0
9,Bond & Lillard Kentucky Straight Bourbon (Batch #1),Bourbon,"Bond & Lillard // Kentucky, USA",3.59,71,NAS,4,50.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Fruity & Sweet,Stephanie Moreno,85,35.0,0.0,40.0,10.0,20.0,50.0,50.0,55.0,0.0,0.0,40.0,20.0,60.0,0.0
10,Widow Jane The Vaults 14 Year Bourbon (2019 Release),Bourbon,Widow Jane // USA,4.02,34,14 Year,4,49.5,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",finished in American oak air-seasoned for 8 years,Fruity & Sweet,Stephanie Moreno,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Amador Whiskey Co. Double Barrel Bourbon,Bourbon,"Amador Whiskey Co. // Kentucky (Finished and Bottled in California), USA",3.49,345,NAS,2,43.4,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","New, Charred American Oak and Ex-Napa Valley Wine",Spicy,Tim Knittel,80,35.0,0.0,60.0,25.0,15.0,40.0,35.0,45.0,10.0,10.0,40.0,35.0,35.0,15.0
12,Woodford Reserve Master's Collection Select American Oak Bourbon,Bourbon,"Woodford Reserve // Kentucky, USA",3.73,32,NAS,4,45.2,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak (Ozark oak)",Spicy,Tim Knittel,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
